username,user id,access hash,group,group id
with_amen,6160377042,3160086160504938252,Jiji Market,1902716214
,6414429642,-2695558947762130651,Jiji Market,1902716214
,6526303647,-8532196508587738708,Jiji Market,1902716214
,6712033266,7625565820308898520,Jiji Market,1902716214
,6865021063,-4346798507456978928,Jiji Market,1902716214
,6970982767,-8524218861737097057,Jiji Market,1902716214
ZppIVKI,264916973,-7052615691328825136,Jiji Market,1902716214
Du2430,593673820,1794920103076280986,Jiji Market,1902716214
abenezz,629241884,-6268366293230289723,Jiji Market,1902716214
Asire390gmailcom,643136770,-1275767425851107360,Jiji Market,1902716214
EliasLegese,702700909,-3385910632349441418,Jiji Market,1902716214
Abayeeko,795023646,559106558953398705,Jiji Market,1902716214
,1298097607,-133727489894946433,Jiji Market,1902716214
pyene,1314414406,4298176040456825962,Jiji Market,1902716214
,1539920126,1604150495737527952,Jiji Market,1902716214
,1858486551,-7734270143004055682,Jiji Market,1902716214
,1942632529,867010360354012968,Jiji Market,1902716214
,1977412801,-524572200172762683,Jiji Market,1902716214
,2014809924,7683902107094502253,Jiji Market,1902716214
putJesus1,5065955162,-6914418835306198260,Jiji Market,1902716214
mhapahabili,6057995013,-5760216421023862928,Jiji Market,1902716214
,6135883120,6176045982509018109,Jiji Market,1902716214
Tesfamenfeskidus,6350498563,4451536123221801137,Jiji Market,1902716214
,6793202005,4787390703782287481,Jiji Market,1902716214
,6549956792,-4447182137811641374,Jiji Market,1902716214
,5719144859,452517649539194030,Jiji Market,1902716214
Elasharukan,476859697,3059411643776028544,Jiji Market,1902716214
Ela4JESUS,526594790,7867116104182005321,Jiji Market,1902716214
Binit7,334456300,-4547878767722775945,Jiji Market,1902716214
BuraTesh,347137260,-7809787529178706246,Jiji Market,1902716214
desta247,409847654,1411744591164547056,Jiji Market,1902716214
,453587198,3809864880641614478,Jiji Market,1902716214
biibiiTesfu,507253209,9162969060354157386,Jiji Market,1902716214
,578861860,-8816996231377376343,Jiji Market,1902716214
,609631236,1302072001463366280,Jiji Market,1902716214
,640037646,-1731627774182771238,Jiji Market,1902716214
Yabusoll,695137795,3754593613575781705,Jiji Market,1902716214
,734667815,9078551857368688043,Jiji Market,1902716214
,754220523,-8137419204384488721,Jiji Market,1902716214
,764002659,6518128967410633887,Jiji Market,1902716214
meteyetaye,823008098,-16666979045966044,Jiji Market,1902716214
,891500453,-4062730707747805475,Jiji Market,1902716214
Bini1234b,918401903,5867810693918532716,Jiji Market,1902716214
Co1d_b0nes,984768333,-3514423094701032299,Jiji Market,1902716214
,1069280255,3787812449947883651,Jiji Market,1902716214
,1072957251,2311847860565381973,Jiji Market,1902716214
,1158286588,-3064475798495454373,Jiji Market,1902716214
,1211034534,8195453501558547609,Jiji Market,1902716214
,1303586810,2993951514028455527,Jiji Market,1902716214
,1354934867,8758205054288651226,Jiji Market,1902716214
,1383777822,3997996714560574163,Jiji Market,1902716214
,1433071283,-747095225132330607,Jiji Market,1902716214
,1608016197,-365038614690042183,Jiji Market,1902716214
Huno_nw_enegedi21,1780165590,-2593147355711414959,Jiji Market,1902716214
DrBurte,1952637042,1367197468806037399,Jiji Market,1902716214
,2030738248,7161016896064884884,Jiji Market,1902716214
biGech,2109235228,7035922097576812384,Jiji Market,1902716214
,5071244023,996615250966670153,Jiji Market,1902716214
,5154432400,6417177684028073474,Jiji Market,1902716214
,5170092397,2579124345761633837,Jiji Market,1902716214
